INFO  - 2017-01-09 21:26:17.075; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2017-01-09 21:26:17.076; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2017-01-09 21:26:17.076; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2017-01-09 21:26:17.076; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2017-01-09 21:26:17.076; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2017-01-09 21:26:17.076; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2017-01-09 21:26:17.077; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2017-01-09 21:26:17.078; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2017-01-09 21:26:17.079; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2017-01-09 21:26:17.081; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2017-01-09 21:26:17.088; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2017-01-09 21:26:17.088; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-01-09 21:26:17.088; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2017-01-09 21:26:17.088; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-01-09 21:26:17.088; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2017-01-09 21:26:17.088; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-01-09 21:26:17.088; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2017-01-09 21:26:17.089; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-01-09 21:26:17.089; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2017-01-09 21:26:17.103; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-01-09 21:26:17.105; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-01-09 21:26:17.106; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-01-09 21:26:17.115; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@31b8a6d1 main
INFO  - 2017-01-09 21:26:17.127; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2017-01-09 21:26:17.128; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2017-01-09 21:26:17.128; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2017-01-09 21:26:17.134; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2017-01-09 21:26:17.139; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2017-01-09 21:26:17.141; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /Library/apache-solr-4.4.0/example/solr/collection1/conf/elevate.xml
INFO  - 2017-01-09 21:26:17.304; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2017-01-09 21:26:17.304; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@31b8a6d1 main{StandardDirectoryReader(segments_1:1)}
INFO  - 2017-01-09 21:26:17.304; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2017-01-09 21:26:17.306; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/Library/apache-solr-4.4.0/example
INFO  - 2017-01-09 21:26:17.306; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2017-01-09 21:26:17.340; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2017-01-09 21:26:17.342; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=37 
INFO  - 2017-01-09 21:26:17.343; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2017-01-09 21:26:17.343; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2017-01-09 21:26:17.343; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2017-01-09 21:26:17.343; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@31b8a6d1 main{StandardDirectoryReader(segments_1:1)}
INFO  - 2017-01-09 21:27:27.473; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2017-01-09 21:27:27.474; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/Library/apache-solr-4.4.0/example/solr-webapp/webapp/},/Library/apache-solr-4.4.0/example/webapps/solr.war
INFO  - 2017-01-09 21:27:28.477; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=910342737
INFO  - 2017-01-09 21:27:28.477; org.apache.solr.core.SolrCore; [collection1]  CLOSING SolrCore org.apache.solr.core.SolrCore@42e0dd34
INFO  - 2017-01-09 21:27:28.477; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=0,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0}
INFO  - 2017-01-09 21:27:28.478; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
INFO  - 2017-01-09 21:27:28.478; org.apache.solr.update.DefaultSolrCoreState; SolrCoreState ref count has reached 0 - closing IndexWriter
INFO  - 2017-01-09 21:27:28.478; org.apache.solr.update.DefaultSolrCoreState; closing IndexWriter with IndexWriterCloser
INFO  - 2017-01-09 21:27:28.478; org.apache.solr.core.SolrCore; [collection1] Closing main searcher on request.
INFO  - 2017-01-09 21:27:28.479; org.apache.solr.core.CachingDirectoryFactory; Closing NRTCachingDirectoryFactory - 2 directories currently being tracked
INFO  - 2017-01-09 21:27:28.480; org.apache.solr.core.CachingDirectoryFactory; looking to close /Library/apache-solr-4.4.0/example/solr/collection1/data [CachedDir<<refCount=0;path=/Library/apache-solr-4.4.0/example/solr/collection1/data;done=false>>]
INFO  - 2017-01-09 21:27:28.480; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /Library/apache-solr-4.4.0/example/solr/collection1/data
INFO  - 2017-01-09 21:27:28.481; org.apache.solr.core.CachingDirectoryFactory; looking to close /Library/apache-solr-4.4.0/example/solr/collection1/data/index [CachedDir<<refCount=0;path=/Library/apache-solr-4.4.0/example/solr/collection1/data/index;done=false>>]
INFO  - 2017-01-09 21:27:28.481; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /Library/apache-solr-4.4.0/example/solr/collection1/data/index
INFO  - 2017-01-09 21:27:28.482; org.eclipse.jetty.server.handler.ContextHandler; stopped o.e.j.w.WebAppContext{/solr,file:/Library/apache-solr-4.4.0/example/solr-webapp/webapp/},/Library/apache-solr-4.4.0/example/webapps/solr.war
INFO  - 2017-01-09 21:28:51.616; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2017-01-09 21:28:51.634; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Library/apache-solr-4.4.0/example/contexts at interval 0
INFO  - 2017-01-09 21:28:51.638; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Library/apache-solr-4.4.0/example/contexts/solr-jetty-context.xml
INFO  - 2017-01-09 21:28:52.398; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2017-01-09 21:28:52.423; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2017-01-09 21:28:52.436; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2017-01-09 21:28:52.436; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2017-01-09 21:28:52.437; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2017-01-09 21:28:52.514; org.apache.solr.core.ConfigSolr; Loading container configuration from /Library/apache-solr-4.4.0/example/solr/solr.xml
INFO  - 2017-01-09 21:28:52.595; org.apache.solr.core.SolrCoreDiscoverer; Looking for cores in /Library/apache-solr-4.4.0/example/solr
INFO  - 2017-01-09 21:28:52.595; org.apache.solr.core.SolrCoreDiscoverer; Looking for cores in /Library/apache-solr-4.4.0/example/solr/bin
INFO  - 2017-01-09 21:28:52.596; org.apache.solr.core.SolrCoreDiscoverer; Discovered properties file /Library/apache-solr-4.4.0/example/solr/collection1/core.properties, adding to cores
